,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
55157,815,South Africa,West Indies,5,143,7,11.29,Johannesburg,231,44,41.0
45458,691,West Indies,New Zealand,1,16,10,6.4,Lauderhill,209,105,41.0
56966,832,South Africa,Bangladesh,0,0,10,0.0,Mirpur,169,119,40.0
45249,677,West Indies,Australia,6,86,8,10.53,Barbados,160,71,41.0
21524,434,Pakistan,New Zealand,6,60,5,5.22,Auckland,153,51,42.0
60828,908,Pakistan,Bangladesh,0,121,8,8.64,Kolkata,201,36,41.0
3786,54,Bangladesh,Sri Lanka,1,59,7,9.32,Colombo,155,82,36.0
12997,158,Pakistan,New Zealand,1,100,6,6.67,Abu Dhabi,148,30,36.0
60295,893,South Africa,Sri Lanka,1,48,7,6.55,Johannesburg,113,76,33.0
55831,821,New Zealand,Pakistan,2,115,5,6.97,Dubai,135,21,32.0
23817,456,West Indies,England,4,23,10,7.26,London,169,101,32.0
13129,159,New Zealand,Pakistan,1,110,6,6.8,Dubai,153,23,32.0
2851,34,New Zealand,England,1,160,7,9.6,Wellington,196,20,36.0
54152,805,Sri Lanka,West Indies,1,65,7,6.5,Mirpur,160,60,35.0
23504,453,Sri Lanka,New Zealand,0,60,4,5.29,Auckland,115,52,38.0
606,10,New Zealand,Bangladesh,4,168,7,10.29,Mount Maunganui,195,22,35.0
59598,876,Pakistan,New Zealand,4,52,9,8.67,Auckland,171,84,30.0
45229,677,West Indies,Australia,0,47,10,9.1,Barbados,160,89,36.0
48169,716,Sri Lanka,Australia,0,28,9,6.72,Melbourne,161,95,35.0
17957,250,West Indies,India,1,69,4,4.65,Lauderhill,95,31,33.0
42282,651,West Indies,Australia,1,82,8,9.46,Colombo,191,68,40.0
46589,701,Australia,England,1,30,9,9.0,Southampton,248,100,39.0
34492,566,Australia,India,1,127,9,9.9,Barbados,184,43,42.0
48125,715,Australia,Sri Lanka,1,121,7,6.91,Sydney,137,15,41.0
